Trial,Cores,Implementation,Nanos/Op,Total,Rlen
0,1,plain add,3.5,2825000,1.0
1,1,plain add,3.5,2825000,1.0
2,1,plain add,3.5,2825000,1.0
3,1,plain add,3.5,2827000,1.0
4,1,plain add,3.5,2823000,1.0
5,1,plain add,3.5,2827000,1.0
6,1,plain add,3.5,2825000,1.0
7,1,plain add,3.5,2827000,1.0
8,1,plain add,3.5,2823000,1.0
9,1,plain add,3.5,2827000,1.0
10,1,plain add,3.5,2825000,1.0
11,1,plain add,3.5,2827000,1.0
12,1,plain add,3.5,2823000,1.0
13,1,plain add,3.5,2825000,1.0
14,1,plain add,3.5,2824000,1.0
0,2,plain add,3.3,6005000,1.0
1,2,plain add,3.3,6010000,1.0
2,2,plain add,3.3,6023000,1.0
3,2,plain add,3.3,6015000,1.0
4,2,plain add,3.3,6024000,1.0
5,2,plain add,3.3,6009000,1.0
6,2,plain add,3.3,6019000,1.0
7,2,plain add,3.3,6009000,1.0
8,2,plain add,3.3,6023000,1.0
9,2,plain add,3.3,6001000,1.0
10,2,plain add,3.3,6023000,1.0
11,2,plain add,3.3,6027000,1.0
12,2,plain add,3.3,6016000,1.0
13,2,plain add,3.3,6035000,1.0
14,2,plain add,3.3,6021000,1.0
0,3,plain add,3.3,9154000,1.0
1,3,plain add,3.3,9159000,1.0
2,3,plain add,3.3,9149000,1.0
3,3,plain add,3.3,9160000,1.0
4,3,plain add,3.3,9149000,1.0
5,3,plain add,3.3,9163000,1.0
6,3,plain add,3.3,9149000,1.0
7,3,plain add,3.3,9163000,1.0
8,3,plain add,3.3,9154000,1.0
9,3,plain add,3.3,9161000,1.0
10,3,plain add,3.3,9152000,1.0
11,3,plain add,3.3,9158000,1.0
12,3,plain add,3.3,9149000,1.0
13,3,plain add,3.3,9158000,1.0
14,3,plain add,3.3,9148000,1.0
0,4,plain add,3.2,12355000,1.0
1,4,plain add,3.2,12348000,1.0
2,4,plain add,3.2,12359000,1.0
3,4,plain add,3.2,12336000,1.0
4,4,plain add,3.2,12355000,1.0
5,4,plain add,3.2,12345000,1.0
6,4,plain add,3.2,12353000,1.0
7,4,plain add,3.2,12342000,1.0
8,4,plain add,3.2,12350000,1.0
9,4,plain add,3.2,12345000,1.0
10,4,plain add,3.2,12353000,1.0
11,4,plain add,3.2,12335000,1.0
12,4,plain add,3.2,12352000,1.0
13,4,plain add,3.2,12344000,1.0
14,4,plain add,3.2,12354000,1.0
0,5,plain add,3.3,15341000,1.0
1,5,plain add,3.3,15360000,1.0
2,5,plain add,3.3,15331000,1.0
3,5,plain add,3.3,15363000,1.0
4,5,plain add,3.3,15341000,1.0
5,5,plain add,3.3,15358000,1.0
6,5,plain add,3.3,15343000,1.0
7,5,plain add,3.3,15360000,1.0
8,5,plain add,3.3,15344000,1.0
9,5,plain add,3.3,15360000,1.0
10,5,plain add,3.3,15341000,1.0
11,5,plain add,3.3,15361000,1.0
12,5,plain add,3.3,15346000,1.0
13,5,plain add,3.3,15360000,1.0
14,5,plain add,3.3,15352000,1.0
0,6,plain add,3.3,18444000,1.0
1,6,plain add,3.3,18463000,1.0
2,6,plain add,3.3,18443000,1.0
3,6,plain add,3.3,18453000,1.0
4,6,plain add,3.3,18443000,1.0
5,6,plain add,3.2,18467000,1.0
6,6,plain add,3.3,18445000,1.0
7,6,plain add,3.2,18468000,1.0
8,6,plain add,3.3,18444000,1.0
9,6,plain add,3.3,18462000,1.0
10,6,plain add,3.3,18437000,1.0
11,6,plain add,3.3,18462000,1.0
12,6,plain add,3.3,18443000,1.0
13,6,plain add,3.3,18459000,1.0
14,6,plain add,3.3,18447000,1.0
0,7,plain add,3.3,21495000,1.0
1,7,plain add,3.3,21467000,1.0
2,7,plain add,3.3,21474000,1.0
3,7,plain add,3.3,21474000,1.0
4,7,plain add,3.3,21493000,1.0
5,7,plain add,3.3,21484000,1.0
6,7,plain add,3.3,21502000,1.0
7,7,plain add,3.3,21465000,1.0
8,7,plain add,3.3,21497000,1.0
9,7,plain add,3.3,21459000,1.0
10,7,plain add,3.3,21491000,1.0
11,7,plain add,3.3,21466000,1.0
12,7,plain add,3.3,21494000,1.0
13,7,plain add,3.3,21476000,1.0
14,7,plain add,3.3,21492000,1.0
0,8,plain add,3.3,24489000,1.0
1,8,plain add,3.3,24518000,1.0
2,8,plain add,3.3,24476000,1.0
3,8,plain add,3.3,24526000,1.0
4,8,plain add,3.3,24497000,1.0
5,8,plain add,3.3,24530000,1.0
6,8,plain add,3.3,24493000,1.0
7,8,plain add,3.3,24517000,1.0
8,8,plain add,3.3,24476000,1.0
9,8,plain add,3.3,24520000,1.0
10,8,plain add,3.3,24493000,1.0
11,8,plain add,3.3,24511000,1.0
12,8,plain add,3.3,24491000,1.0
13,8,plain add,3.3,24525000,1.0
14,8,plain add,3.3,24445000,1.0
0,9,plain add,3.3,27496000,1.0
1,9,plain add,3.3,27460000,1.0
2,9,plain add,3.3,27496000,1.0
3,9,plain add,3.3,27470000,1.0
4,9,plain add,3.3,27503000,1.0
5,9,plain add,3.3,27476000,1.0
6,9,plain add,3.3,27522000,1.0
7,9,plain add,3.3,27480000,1.0
8,9,plain add,3.3,27508000,1.0
9,9,plain add,3.3,27483000,1.0
10,9,plain add,3.3,27518000,1.0
11,9,plain add,3.3,27480000,1.0
12,9,plain add,3.3,27518000,1.0
13,9,plain add,3.3,27494000,1.0
