Trial,Cores,Implementation,Nanos/Op,Total,Rlen
0,17,plain add,4.1,2055063600,1.0
1,17,plain add,4.1,2055072000,1.0
2,17,plain add,4.1,2054916000,1.0
3,17,plain add,4.1,2054980800,1.0
4,17,plain add,4.1,2054831800,1.0
5,17,plain add,4.1,2054890400,1.0
6,17,plain add,4.1,2054932200,1.0
7,17,plain add,4.1,2054984600,1.0
8,17,plain add,4.1,2054735600,1.0
9,17,plain add,4.1,2054831800,1.0
10,17,plain add,4.1,2055156400,1.0
11,17,plain add,4.1,2055111000,1.0
12,17,plain add,4.1,2054867000,1.0
13,17,plain add,4.1,2055147200,1.0
14,17,plain add,4.1,2055035800,1.0
0,18,plain add,4.4,2055066000,1.0
1,18,plain add,4.4,2054927400,1.0
2,18,plain add,4.4,2055136400,1.0
3,18,plain add,4.4,2054927800,1.0
4,18,plain add,4.4,2054907800,1.0
5,18,plain add,4.4,2054967600,1.0
6,18,plain add,4.4,2055133800,1.0
7,18,plain add,4.4,2055160800,1.0
8,18,plain add,4.4,2054912200,1.0
9,18,plain add,4.4,2055324600,1.0
10,18,plain add,4.4,2055078800,1.0
11,18,plain add,4.4,2055156000,1.0
12,18,plain add,4.4,2055013200,1.0
13,18,plain add,4.4,2055171800,1.0
14,18,plain add,4.4,2054911000,1.0
0,17,tls add,4.7,1815055600,1.0
1,17,tls add,4.7,1814681200,1.0
2,17,tls add,4.7,1815143800,1.0
3,17,tls add,4.7,1814725000,1.0
4,17,tls add,4.7,1815109200,1.0
5,17,tls add,4.7,1814727200,1.0
6,17,tls add,4.7,1815097600,1.0
7,17,tls add,4.7,1814729800,1.0
8,17,tls add,4.7,1815102200,1.0
9,17,tls add,4.7,1814669000,1.0
10,17,tls add,4.7,1814527800,1.0
11,17,tls add,4.7,1814718000,1.0
12,17,tls add,4.7,1815115600,1.0
13,17,tls add,4.7,1815080200,1.0
14,17,tls add,4.7,1814764000,1.0
0,18,tls add,5.0,1815246000,1.0
1,18,tls add,5.0,1815531400,1.0
2,18,tls add,5.0,1815155200,1.0
3,18,tls add,5.0,1815478200,1.0
4,18,tls add,5.0,1815218400,1.0
5,18,tls add,5.0,1815496800,1.0
6,18,tls add,5.0,1815204000,1.0
7,18,tls add,5.0,1815505400,1.0
8,18,tls add,5.0,1815244000,1.0
9,18,tls add,5.0,1815553400,1.0
10,18,tls add,5.0,1815226800,1.0
11,18,tls add,5.0,1815530200,1.0
12,18,tls add,5.0,1815220400,1.0
13,18,tls add,5.0,1815512800,1.0
14,18,tls add,4.9,1815149800,1.0
0,17,atomic add,1472.9,5768600,1.0
1,17,atomic add,1451.2,5855600,1.0
2,17,atomic add,1492.3,5694000,1.0
3,17,atomic add,1493.7,5691400,1.0
4,17,atomic add,1489.8,5701000,1.0
5,17,atomic add,1487.9,5710800,1.0
6,17,atomic add,1488.6,5708200,1.0
7,17,atomic add,1486.7,5715000,1.0
8,17,atomic add,1475.7,5757800,1.0
9,17,atomic add,1449.0,5864000,1.0
10,17,atomic add,1448.8,5865200,1.0
11,17,atomic add,1449.6,5864600,1.0
12,17,atomic add,1449.1,5860800,1.0
13,17,atomic add,1450.0,5860400,1.0
14,17,atomic add,1446.1,5867200,1.0
0,18,atomic add,1538.1,5849400,1.0
1,18,atomic add,1538.8,5844000,1.0
2,18,atomic add,1536.3,5851200,1.0
3,18,atomic add,1537.1,5850600,1.0
4,18,atomic add,1537.5,5849000,1.0
5,18,atomic add,1537.3,5850000,1.0
6,18,atomic add,1538.6,5844600,1.0
7,18,atomic add,1538.2,5846200,1.0
8,18,atomic add,1538.3,5848800,1.0
9,18,atomic add,1538.9,5843800,1.0
10,18,atomic add,1535.3,5855000,1.0
11,18,atomic add,1537.2,5850400,1.0
12,18,atomic add,1537.7,5848400,1.0
13,18,atomic add,1535.5,5856800,1.0
14,18,atomic add,1532.6,5852200,1.0
0,17,cas add,2255.2,3766000,1.0
1,17,cas add,2256.1,3766400,1.0
2,17,cas add,2255.0,3768200,1.0
3,17,cas add,2255.1,3768000,1.0
4,17,cas add,2255.3,3767800,1.0
5,17,cas add,2256.1,3766800,1.0
6,17,cas add,2258.2,3764800,1.0
7,17,cas add,2253.4,3769000,1.0
8,17,cas add,2255.8,3767000,1.0
9,17,cas add,2256.7,3765200,1.0
10,17,cas add,2255.9,3767000,1.0
11,17,cas add,2254.9,3768400,1.0
12,17,cas add,2255.2,3767800,1.0
13,17,cas add,2255.7,3767000,1.0
14,17,cas add,2252.8,3766800,1.0
0,18,cas add,2388.4,3765800,1.0
1,18,cas add,2389.4,3764000,1.0
2,18,cas add,2388.7,3765000,1.0
3,18,cas add,2389.9,3765000,1.0
4,18,cas add,2389.3,3764200,1.0
5,18,cas add,2386.4,3766800,1.0
6,18,cas add,2389.2,3764400,1.0
7,18,cas add,2389.7,3763600,1.0
8,18,cas add,2390.0,3763000,1.0
9,18,cas add,2389.7,3763200,1.0
10,18,cas add,2390.0,3762800,1.0
11,18,cas add,2390.4,3764000,1.0
12,18,cas add,2388.5,3765200,1.0
13,18,cas add,2386.5,3767000,1.0
14,18,cas add,2382.6,3764800,1.0
0,17,cas multi,18.8,451122600,1.0
1,17,cas multi,18.8,451115600,1.0
2,17,cas multi,18.8,451106600,1.0
3,17,cas multi,18.8,451125800,1.0
4,17,cas multi,18.8,451127000,1.0
5,17,cas multi,18.8,451084200,1.0
6,17,cas multi,18.8,451118800,1.0
7,17,cas multi,18.8,451126000,1.0
8,17,cas multi,18.8,451118400,1.0
9,17,cas multi,18.8,451122000,1.0
