Trial,Cores,Implementation,Nanos/Op,Total,Rlen
0,1,plain add,2.3,4315000,1.0
1,1,plain add,2.3,4314000,1.0
2,1,plain add,2.3,4315000,1.0
3,1,plain add,2.3,4315000,1.0
4,1,plain add,2.3,4315000,1.0
5,1,plain add,2.3,4314000,1.0
6,1,plain add,2.3,4315000,1.0
7,1,plain add,2.3,4315000,1.0
8,1,plain add,2.3,4316000,1.0
9,1,plain add,2.3,4315000,1.0
10,1,plain add,2.3,4316000,1.0
11,1,plain add,2.3,4315000,1.0
12,1,plain add,2.3,4315000,1.0
13,1,plain add,2.3,4312000,1.0
14,1,plain add,2.3,4316000,1.0
0,2,plain add,4.0,4941000,1.0
1,2,plain add,4.0,4944000,1.0
2,2,plain add,4.0,4941000,1.0
3,2,plain add,4.0,4943000,1.0
4,2,plain add,4.0,4944000,1.0
5,2,plain add,4.0,4945000,1.0
6,2,plain add,4.0,4943000,1.0
7,2,plain add,4.0,4942000,1.0
8,2,plain add,4.0,4943000,1.0
9,2,plain add,4.0,4945000,1.0
10,2,plain add,4.0,4942000,1.0
11,2,plain add,4.0,4942000,1.0
12,2,plain add,4.0,4941000,1.0
13,2,plain add,4.0,4943000,1.0
14,2,plain add,4.0,4943000,1.0
0,3,plain add,5.4,5552000,1.0
1,3,plain add,5.4,5552000,1.0
2,3,plain add,5.4,5548000,1.0
3,3,plain add,5.4,5546000,1.0
4,3,plain add,5.4,5547000,1.0
5,3,plain add,5.4,5547000,1.0
6,3,plain add,5.4,5551000,1.0
7,3,plain add,5.4,5548000,1.0
8,3,plain add,5.4,5549000,1.0
9,3,plain add,5.4,5548000,1.0
10,3,plain add,5.4,5546000,1.0
11,3,plain add,5.4,5547000,1.0
12,3,plain add,5.4,5552000,1.0
13,3,plain add,5.4,5549000,1.0
14,3,plain add,5.4,5549000,1.0
0,4,plain add,6.5,6196000,1.0
1,4,plain add,6.5,6195000,1.0
2,4,plain add,6.5,6195000,1.0
3,4,plain add,6.5,6189000,1.0
4,4,plain add,6.5,6194000,1.0
5,4,plain add,6.5,6194000,1.0
6,4,plain add,6.5,6191000,1.0
7,4,plain add,6.5,6192000,1.0
8,4,plain add,6.5,6200000,1.0
9,4,plain add,6.5,6191000,1.0
10,4,plain add,6.5,6189000,1.0
11,4,plain add,6.5,6191000,1.0
12,4,plain add,6.5,6187000,1.0
13,4,plain add,6.5,6198000,1.0
14,4,plain add,6.5,6189000,1.0
0,5,plain add,7.8,6438000,1.0
1,5,plain add,7.7,6460000,1.0
2,5,plain add,7.7,6476000,1.0
3,5,plain add,7.7,6466000,1.0
4,5,plain add,7.7,6470000,1.0
5,5,plain add,7.7,6468000,1.0
6,5,plain add,7.8,6445000,1.0
7,5,plain add,7.8,6452000,1.0
8,5,plain add,7.7,6473000,1.0
9,5,plain add,7.7,6462000,1.0
10,5,plain add,7.7,6474000,1.0
11,5,plain add,7.7,6471000,1.0
12,5,plain add,7.8,6454000,1.0
13,5,plain add,7.7,6475000,1.0
14,5,plain add,7.7,6459000,1.0
0,6,plain add,9.2,6553000,1.0
1,6,plain add,9.1,6575000,1.0
2,6,plain add,9.1,6569000,1.0
3,6,plain add,9.2,6543000,1.0
4,6,plain add,9.1,6566000,1.0
5,6,plain add,9.2,6553000,1.0
6,6,plain add,9.1,6565000,1.0
7,6,plain add,9.1,6607000,1.0
8,6,plain add,9.1,6594000,1.0
9,6,plain add,9.2,6538000,1.0
10,6,plain add,9.1,6583000,1.0
11,6,plain add,9.1,6564000,1.0
12,6,plain add,9.1,6583000,1.0
13,6,plain add,9.1,6596000,1.0
14,6,plain add,9.2,6549000,1.0
0,7,plain add,10.7,6533000,1.0
1,7,plain add,10.7,6564000,1.0
2,7,plain add,10.7,6561000,1.0
3,7,plain add,10.7,6549000,1.0
4,7,plain add,10.7,6530000,1.0
5,7,plain add,10.7,6542000,1.0
6,7,plain add,10.8,6505000,1.0
7,7,plain add,10.9,6425000,1.0
8,7,plain add,10.7,6534000,1.0
9,7,plain add,10.7,6559000,1.0
10,7,plain add,10.6,6577000,1.0
11,7,plain add,10.8,6512000,1.0
12,7,plain add,10.7,6522000,1.0
13,7,plain add,10.8,6486000,1.0
14,7,plain add,10.7,6559000,1.0
0,8,plain add,12.9,6215000,1.0
1,8,plain add,12.8,6269000,1.0
2,8,plain add,12.5,6403000,1.0
3,8,plain add,12.8,6253000,1.0
4,8,plain add,12.7,6326000,1.0
5,8,plain add,12.7,6292000,1.0
6,8,plain add,12.7,6301000,1.0
7,8,plain add,12.7,6309000,1.0
8,8,plain add,12.7,6301000,1.0
9,8,plain add,12.7,6293000,1.0
10,8,plain add,12.7,6281000,1.0
11,8,plain add,12.9,6202000,1.0
12,8,plain add,12.8,6252000,1.0
13,8,plain add,13.0,6139000,1.0
14,8,plain add,12.7,6320000,1.0
0,9,plain add,15.8,5687000,1.0
1,9,plain add,15.8,5714000,1.0
2,9,plain add,15.4,5828000,1.0
3,9,plain add,15.4,5829000,1.0
4,9,plain add,15.5,5822000,1.0
5,9,plain add,15.9,5674000,1.0
6,9,plain add,15.6,5789000,1.0
7,9,plain add,15.7,5748000,1.0
8,9,plain add,15.7,5751000,1.0
9,9,plain add,15.5,5797000,1.0
10,9,plain add,15.4,5846000,1.0
11,9,plain add,15.7,5757000,1.0
12,9,plain add,15.8,5702000,1.0
13,9,plain add,15.6,5776000,1.0
14,9,plain add,15.7,5742000,1.0
0,10,plain add,20.0,4993000,1.0
1,10,plain add,19.5,5131000,1.0
2,10,plain add,20.2,4962000,1.0
3,10,plain add,19.2,5204000,1.0
4,10,plain add,19.7,5082000,1.0
5,10,plain add,20.0,4998000,1.0
6,10,plain add,19.7,5078000,1.0
7,10,plain add,19.3,5194000,1.0
8,10,plain add,19.3,5173000,1.0
9,10,plain add,20.1,4971000,1.0
10,10,plain add,19.4,5164000,1.0
11,10,plain add,19.5,5132000,1.0
12,10,plain add,19.9,5019000,1.0
13,10,plain add,19.0,5258000,1.0
14,10,plain add,19.6,5099000,1.0
0,11,plain add,21.5,5109000,1.0
1,11,plain add,21.2,5192000,1.0
2,11,plain add,22.3,4926000,1.0
3,11,plain add,21.7,5070000,1.0
4,11,plain add,22.2,4962000,1.0
5,11,plain add,21.9,5033000,1.0
6,11,plain add,22.1,4984000,1.0
7,11,plain add,22.2,4957000,1.0
8,11,plain add,22.1,4990000,1.0
9,11,plain add,22.1,4973000,1.0
10,11,plain add,22.3,4926000,1.0
11,11,plain add,21.9,5014000,1.0
12,11,plain add,21.9,5020000,1.0
13,11,plain add,22.6,4864000,1.0
14,11,plain add,22.2,4956000,1.0
0,12,plain add,24.6,4884000,1.0
1,12,plain add,23.4,5141000,1.0
2,12,plain add,24.5,4909000,1.0
3,12,plain add,25.5,4720000,1.0
4,12,plain add,25.4,4737000,1.0
5,12,plain add,25.5,4705000,1.0
6,12,plain add,24.9,4826000,1.0
7,12,plain add,24.6,4885000,1.0
8,12,plain add,24.6,4873000,1.0
9,12,plain add,23.5,5113000,1.0
10,12,plain add,24.4,4912000,1.0
11,12,plain add,24.7,4859000,1.0
12,12,plain add,24.9,4829000,1.0
13,12,plain add,24.6,4877000,1.0
