Trial,Cores,Implementation,Nanos/Op,Total,Rlen
0,1,plain add,2.3,4362000,1.0
1,1,plain add,2.3,4363000,1.0
2,1,plain add,2.3,4362000,1.0
3,1,plain add,2.3,4363000,1.0
4,1,plain add,2.3,4338000,1.0
5,1,plain add,2.3,4348000,1.0
6,1,plain add,2.3,4352000,1.0
7,1,plain add,2.3,4357000,1.0
8,1,plain add,2.3,4351000,1.0
9,1,plain add,2.3,4363000,1.0
10,1,plain add,2.3,4362000,1.0
11,1,plain add,2.3,4359000,1.0
12,1,plain add,2.3,4362000,1.0
13,1,plain add,2.3,4363000,1.0
14,1,plain add,2.3,4362000,1.0
0,2,plain add,2.4,8270000,1.0
1,2,plain add,2.4,8277000,1.0
2,2,plain add,2.4,8281000,1.0
3,2,plain add,2.4,8280000,1.0
4,2,plain add,2.4,8281000,1.0
5,2,plain add,2.4,8273000,1.0
6,2,plain add,2.4,8273000,1.0
7,2,plain add,2.4,8269000,1.0
8,2,plain add,2.4,8267000,1.0
9,2,plain add,2.4,8272000,1.0
10,2,plain add,2.4,8266000,1.0
11,2,plain add,2.4,8277000,1.0
12,2,plain add,2.4,8274000,1.0
13,2,plain add,2.4,8279000,1.0
14,2,plain add,2.4,8277000,1.0
0,3,plain add,2.4,12593000,1.0
1,3,plain add,2.4,12583000,1.0
2,3,plain add,2.4,12604000,1.0
3,3,plain add,2.4,12619000,1.0
4,3,plain add,2.4,12627000,1.0
5,3,plain add,2.4,12613000,1.0
6,3,plain add,2.4,12620000,1.0
7,3,plain add,2.4,12616000,1.0
8,3,plain add,2.4,12622000,1.0
9,3,plain add,2.4,12620000,1.0
10,3,plain add,2.4,12616000,1.0
11,3,plain add,2.4,12611000,1.0
12,3,plain add,2.4,12623000,1.0
13,3,plain add,2.4,12612000,1.0
14,3,plain add,2.4,12616000,1.0
0,4,plain add,2.4,16734000,1.0
1,4,plain add,2.4,16734000,1.0
2,4,plain add,2.4,16733000,1.0
3,4,plain add,2.4,16720000,1.0
4,4,plain add,2.4,16733000,1.0
5,4,plain add,2.4,16744000,1.0
6,4,plain add,2.4,16708000,1.0
7,4,plain add,2.4,16703000,1.0
8,4,plain add,2.4,16733000,1.0
9,4,plain add,2.4,16700000,1.0
10,4,plain add,2.4,16723000,1.0
11,4,plain add,2.4,16694000,1.0
12,4,plain add,2.4,16704000,1.0
13,4,plain add,2.4,16698000,1.0
14,4,plain add,2.4,16701000,1.0
0,1,tls add,1.3,7786000,1.0
1,1,tls add,1.2,8035000,1.0
2,1,tls add,1.2,8082000,1.0
3,1,tls add,1.2,8080000,1.0
4,1,tls add,1.2,8079000,1.0
5,1,tls add,1.2,8084000,1.0
6,1,tls add,1.3,7992000,1.0
7,1,tls add,1.4,7337000,1.0
8,1,tls add,1.3,7684000,1.0
9,1,tls add,1.2,8068000,1.0
10,1,tls add,1.2,8083000,1.0
11,1,tls add,1.2,8081000,1.0
12,1,tls add,1.2,8079000,1.0
13,1,tls add,1.2,8084000,1.0
14,1,tls add,1.2,8083000,1.0
0,2,tls add,1.2,16074000,1.0
1,2,tls add,1.2,16145000,1.0
2,2,tls add,1.3,15902000,1.0
3,2,tls add,1.2,16074000,1.0
4,2,tls add,1.3,15871000,1.0
5,2,tls add,1.2,16127000,1.0
6,2,tls add,1.2,16115000,1.0
7,2,tls add,1.2,16107000,1.0
8,2,tls add,1.2,16164000,1.0
9,2,tls add,1.2,16157000,1.0
10,2,tls add,1.2,16155000,1.0
11,2,tls add,1.3,15796000,1.0
12,2,tls add,1.3,15936000,1.0
13,2,tls add,1.3,15825000,1.0
14,2,tls add,1.3,15796000,1.0
0,3,tls add,1.2,24163000,1.0
1,3,tls add,1.2,24185000,1.0
2,3,tls add,1.2,24222000,1.0
3,3,tls add,1.2,24241000,1.0
4,3,tls add,1.3,23642000,1.0
5,3,tls add,1.3,23949000,1.0
6,3,tls add,1.2,24090000,1.0
7,3,tls add,1.3,23502000,1.0
8,3,tls add,1.2,24030000,1.0
9,3,tls add,1.3,23462000,1.0
10,3,tls add,1.3,23618000,1.0
11,3,tls add,1.2,24190000,1.0
12,3,tls add,1.2,24142000,1.0
13,3,tls add,1.3,23936000,1.0
14,3,tls add,1.2,24174000,1.0
0,4,tls add,1.2,32288000,1.0
1,4,tls add,1.2,32266000,1.0
2,4,tls add,1.2,32284000,1.0
3,4,tls add,1.2,32280000,1.0
4,4,tls add,1.2,32267000,1.0
5,4,tls add,1.3,31668000,1.0
6,4,tls add,1.3,30791000,1.0
7,4,tls add,1.3,30433000,1.0
8,4,tls add,1.3,30471000,1.0
9,4,tls add,1.3,30341000,1.0
10,4,tls add,1.3,30195000,1.0
11,4,tls add,1.3,30097000,1.0
12,4,tls add,1.3,30538000,1.0
13,4,tls add,1.3,30532000,1.0
14,4,tls add,1.3,30321000,1.0
0,1,atomic add,6.1,1641000,1.0
1,1,atomic add,6.1,1641000,1.0
2,1,atomic add,6.1,1641000,1.0
3,1,atomic add,6.1,1641000,1.0
4,1,atomic add,6.1,1640000,1.0
5,1,atomic add,6.1,1635000,1.0
6,1,atomic add,6.1,1637000,1.0
7,1,atomic add,6.1,1637000,1.0
8,1,atomic add,6.1,1641000,1.0
9,1,atomic add,6.1,1639000,1.0
10,1,atomic add,6.1,1641000,1.0
11,1,atomic add,6.1,1641000,1.0
12,1,atomic add,6.1,1641000,1.0
13,1,atomic add,6.1,1641000,1.0
14,1,atomic add,6.1,1641000,1.0
0,2,atomic add,32.7,612000,1.0
1,2,atomic add,32.8,610000,1.0
2,2,atomic add,32.8,611000,1.0
3,2,atomic add,32.7,612000,1.0
4,2,atomic add,32.7,612000,1.0
5,2,atomic add,32.9,609000,1.0
6,2,atomic add,32.8,612000,1.0
7,2,atomic add,33.0,607000,1.0
8,2,atomic add,33.0,607000,1.0
9,2,atomic add,32.8,611000,1.0
10,2,atomic add,33.0,608000,1.0
11,2,atomic add,32.8,610000,1.0
12,2,atomic add,32.8,611000,1.0
13,2,atomic add,33.0,607000,1.0
14,2,atomic add,32.9,609000,1.0
0,3,atomic add,49.4,608000,1.0
1,3,atomic add,49.2,611000,1.0
2,3,atomic add,49.2,611000,1.0
3,3,atomic add,49.2,610000,1.0
4,3,atomic add,49.5,608000,1.0
5,3,atomic add,49.1,612000,1.0
6,3,atomic add,49.3,611000,1.0
7,3,atomic add,49.1,612000,1.0
8,3,atomic add,49.3,610000,1.0
9,3,atomic add,49.3,609000,1.0
10,3,atomic add,49.4,609000,1.0
11,3,atomic add,49.3,610000,1.0
12,3,atomic add,49.3,609000,1.0
13,3,atomic add,49.3,610000,1.0
14,3,atomic add,49.3,609000,1.0
0,4,atomic add,69.5,576000,1.0
1,4,atomic add,69.5,577000,1.0
2,4,atomic add,69.5,577000,1.0
3,4,atomic add,69.4,577000,1.0
4,4,atomic add,69.5,577000,1.0
5,4,atomic add,69.4,577000,1.0
6,4,atomic add,69.5,577000,1.0
7,4,atomic add,69.5,577000,1.0
8,4,atomic add,69.5,577000,1.0
9,4,atomic add,69.5,577000,1.0
10,4,atomic add,69.4,578000,1.0
11,4,atomic add,69.3,578000,1.0
12,4,atomic add,69.3,578000,1.0
13,4,atomic add,69.3,579000,1.0
14,4,atomic add,69.3,579000,1.0
0,1,cas add,11.0,912000,1.0
1,1,cas add,11.0,912000,1.0
2,1,cas add,11.0,912000,1.0
3,1,cas add,11.0,912000,1.0
4,1,cas add,11.0,912000,1.0
5,1,cas add,11.0,912000,1.0
6,1,cas add,11.0,912000,1.0
7,1,cas add,11.0,912000,1.0
8,1,cas add,11.0,912000,1.0
9,1,cas add,11.0,912000,1.0
10,1,cas add,11.0,912000,1.0
11,1,cas add,11.0,912000,1.0
12,1,cas add,11.0,912000,1.0
13,1,cas add,11.0,912000,1.0
14,1,cas add,11.0,912000,1.0
0,2,cas add,103.2,195000,1.0
1,2,cas add,102.0,197000,1.0
2,2,cas add,103.1,195000,1.0
3,2,cas add,102.2,196000,1.0
4,2,cas add,102.7,196000,1.0
5,2,cas add,102.6,195000,1.0
6,2,cas add,103.2,195000,1.0
7,2,cas add,103.3,195000,1.0
8,2,cas add,103.1,195000,1.0
9,2,cas add,102.8,196000,1.0
10,2,cas add,103.3,194000,1.0
11,2,cas add,103.2,195000,1.0
12,2,cas add,103.4,195000,1.0
13,2,cas add,103.3,195000,1.0
14,2,cas add,103.1,195000,1.0
0,3,cas add,171.2,176000,1.0
1,3,cas add,171.0,176000,1.0
2,3,cas add,171.3,177000,1.0
3,3,cas add,171.1,177000,1.0
4,3,cas add,170.9,177000,1.0
5,3,cas add,171.0,177000,1.0
6,3,cas add,170.9,177000,1.0
7,3,cas add,171.6,176000,1.0
8,3,cas add,173.1,175000,1.0
9,3,cas add,171.2,176000,1.0
10,3,cas add,172.1,175000,1.0
11,3,cas add,172.4,175000,1.0
12,3,cas add,171.2,176000,1.0
13,3,cas add,171.5,176000,1.0
14,3,cas add,171.6,175000,1.0
0,4,cas add,267.0,151000,1.0
1,4,cas add,266.7,151000,1.0
2,4,cas add,266.6,151000,1.0
3,4,cas add,266.8,151000,1.0
4,4,cas add,266.8,151000,1.0
5,4,cas add,266.6,151000,1.0
6,4,cas add,266.5,151000,1.0
7,4,cas add,266.3,152000,1.0
8,4,cas add,266.0,151000,1.0
9,4,cas add,267.1,152000,1.0
10,4,cas add,265.6,152000,1.0
11,4,cas add,266.5,152000,1.0
12,4,cas add,265.2,152000,1.0
13,4,cas add,266.7,151000,1.0
14,4,cas add,266.8,151000,1.0
0,1,cas multi,11.0,912000,1.0
1,1,cas multi,11.0,912000,1.0
2,1,cas multi,11.0,912000,1.0
3,1,cas multi,11.0,911000,1.0
4,1,cas multi,11.0,912000,1.0
5,1,cas multi,11.0,912000,1.0
6,1,cas multi,11.0,912000,1.0
7,1,cas multi,11.0,912000,1.0
8,1,cas multi,11.0,912000,1.0
9,1,cas multi,11.0,912000,1.0
10,1,cas multi,11.0,912000,1.0
11,1,cas multi,11.0,912000,1.0
12,1,cas multi,11.0,912000,1.0
13,1,cas multi,11.0,912000,1.0
14,1,cas multi,11.0,912000,1.0
0,2,cas multi,11.0,1821000,1.0
1,2,cas multi,11.0,1823000,1.0
2,2,cas multi,11.0,1822000,1.0
3,2,cas multi,11.0,1822000,1.0
4,2,cas multi,11.0,1823000,1.0
5,2,cas multi,11.0,1822000,1.0
6,2,cas multi,11.0,1823000,1.0
7,2,cas multi,11.0,1824000,1.0
8,2,cas multi,11.0,1823000,1.0
9,2,cas multi,11.0,1824000,1.0
10,2,cas multi,11.0,1823000,1.0
11,2,cas multi,11.0,1824000,1.0
12,2,cas multi,11.0,1824000,1.0
13,2,cas multi,11.0,1824000,1.0
14,2,cas multi,11.0,1824000,1.0
0,3,cas multi,11.0,2736000,1.0
1,3,cas multi,11.0,2736000,1.0
2,3,cas multi,11.0,2736000,1.0
3,3,cas multi,11.0,2736000,1.0
4,3,cas multi,11.0,2736000,1.0
5,3,cas multi,11.0,2736000,1.0
6,3,cas multi,11.0,2736000,1.0
7,3,cas multi,11.0,2736000,1.0
8,3,cas multi,11.0,2736000,1.0
9,3,cas multi,11.0,2735000,1.0
10,3,cas multi,11.0,2736000,1.0
11,3,cas multi,11.0,2736000,1.0
12,3,cas multi,11.0,2735000,1.0
13,3,cas multi,11.0,2735000,1.0
14,3,cas multi,11.0,2736000,1.0
0,4,cas multi,11.0,3642000,1.0
1,4,cas multi,11.0,3644000,1.0
2,4,cas multi,11.0,3645000,1.0
3,4,cas multi,11.0,3646000,1.0
4,4,cas multi,11.0,3644000,1.0
5,4,cas multi,11.0,3646000,1.0
6,4,cas multi,11.0,3646000,1.0
7,4,cas multi,11.0,3644000,1.0
8,4,cas multi,11.0,3644000,1.0
9,4,cas multi,11.0,3642000,1.0
10,4,cas multi,11.0,3643000,1.0
11,4,cas multi,11.0,3646000,1.0
12,4,cas multi,11.0,3644000,1.0
13,4,cas multi,11.0,3643000,1.0
14,4,cas multi,11.0,3645000,1.0
0,1,mutex add,17.0,587000,1.0
1,1,mutex add,17.1,587000,1.0
2,1,mutex add,17.0,587000,1.0
3,1,mutex add,17.0,588000,1.0
4,1,mutex add,17.0,587000,1.0
5,1,mutex add,17.1,587000,1.0
6,1,mutex add,17.0,588000,1.0
7,1,mutex add,17.1,587000,1.0
8,1,mutex add,17.0,587000,1.0
9,1,mutex add,17.0,587000,1.0
10,1,mutex add,17.1,586000,1.0
11,1,mutex add,17.1,587000,1.0
12,1,mutex add,17.1,586000,1.0
13,1,mutex add,17.1,587000,1.0
14,1,mutex add,17.1,586000,1.0
0,2,mutex add,222.8,91000,1.0
1,2,mutex add,219.0,92000,1.0
2,2,mutex add,217.1,93000,1.0
3,2,mutex add,221.1,91000,1.0
4,2,mutex add,223.0,90000,1.0
5,2,mutex add,216.4,93000,1.0
6,2,mutex add,219.4,92000,1.0
7,2,mutex add,222.9,90000,1.0
8,2,mutex add,219.4,92000,1.0
9,2,mutex add,217.9,92000,1.0
10,2,mutex add,217.0,93000,1.0
11,2,mutex add,216.6,93000,1.0
12,2,mutex add,216.8,93000,1.0
13,2,mutex add,220.4,91000,1.0
14,2,mutex add,227.2,89000,1.0
0,3,mutex add,135.5,224000,1.0
1,3,mutex add,135.9,223000,1.0
2,3,mutex add,136.4,221000,1.0
3,3,mutex add,135.6,223000,1.0
4,3,mutex add,136.4,222000,1.0
5,3,mutex add,135.5,222000,1.0
6,3,mutex add,136.6,221000,1.0
7,3,mutex add,136.3,221000,1.0
8,3,mutex add,135.0,223000,1.0
9,3,mutex add,134.4,225000,1.0
10,3,mutex add,135.1,223000,1.0
11,3,mutex add,134.8,224000,1.0
12,3,mutex add,134.7,223000,1.0
13,3,mutex add,135.9,222000,1.0
14,3,mutex add,134.7,224000,1.0
0,4,mutex add,446.5,91000,1.0
1,4,mutex add,447.1,90000,1.0
2,4,mutex add,442.0,92000,1.0
3,4,mutex add,441.3,93000,1.0
4,4,mutex add,446.6,90000,1.0
5,4,mutex add,444.0,91000,1.0
6,4,mutex add,447.0,91000,1.0
7,4,mutex add,452.4,89000,1.0
8,4,mutex add,446.2,91000,1.0
9,4,mutex add,449.3,90000,1.0
10,4,mutex add,450.3,92000,1.0
11,4,mutex add,447.1,90000,1.0
12,4,mutex add,444.3,91000,1.0
13,4,mutex add,446.4,90000,1.0
14,4,mutex add,442.8,92000,1.0
0,1,pure spin,7.3,1368000,1.0
1,1,pure spin,7.3,1368000,1.0
2,1,pure spin,7.3,1368000,1.0
3,1,pure spin,7.3,1368000,1.0
4,1,pure spin,7.3,1368000,1.0
5,1,pure spin,7.3,1368000,1.0
6,1,pure spin,7.3,1368000,1.0
7,1,pure spin,7.3,1368000,1.0
8,1,pure spin,7.3,1368000,1.0
9,1,pure spin,7.3,1367000,1.0
10,1,pure spin,7.3,1368000,1.0
11,1,pure spin,7.3,1368000,1.0
12,1,pure spin,7.3,1368000,1.0
13,1,pure spin,7.3,1367000,1.0
