Trial,Cores,Implementation,Nanos/Op,Total,Rlen
0,5,plain add,3.1,799141000,1.0
1,5,plain add,3.1,799338200,1.0
2,5,plain add,3.1,799887000,1.0
3,5,plain add,3.1,799644200,1.0
4,5,plain add,3.1,799483000,1.0
5,5,plain add,3.1,799187600,1.0
6,5,plain add,3.1,799137200,1.0
7,5,plain add,3.1,798842200,1.0
8,5,plain add,3.1,799122800,1.0
9,5,plain add,3.1,799215000,1.0
10,5,plain add,3.1,799548400,1.0
11,5,plain add,3.1,799383800,1.0
12,5,plain add,3.1,799017000,1.0
13,5,plain add,3.1,798522400,1.0
14,5,plain add,3.1,798092800,1.0
0,6,plain add,3.8,798516200,1.0
1,6,plain add,3.8,798730400,1.0
2,6,plain add,3.7,798822200,1.0
3,6,plain add,3.8,798009400,1.0
4,6,plain add,3.8,797446600,1.0
5,6,plain add,3.8,797567600,1.0
6,6,plain add,3.8,797278800,1.0
7,6,plain add,3.8,797426600,1.0
8,6,plain add,3.7,795932200,1.0
9,6,plain add,3.8,797179800,1.0
10,6,plain add,3.8,791025000,1.0
11,6,plain add,3.8,792700800,1.0
12,6,plain add,3.8,791907600,1.0
13,6,plain add,3.8,791289400,1.0
14,6,plain add,3.8,788820800,1.0
0,5,tls add,2.2,1154084400,1.0
1,5,tls add,2.2,1148256000,1.0
2,5,tls add,2.2,1156987200,1.0
3,5,tls add,2.2,1155530600,1.0
4,5,tls add,2.2,1156300800,1.0
5,5,tls add,2.2,1150846400,1.0
6,5,tls add,2.2,1155870600,1.0
7,5,tls add,2.2,1151910400,1.0
8,5,tls add,2.2,1149302400,1.0
9,5,tls add,2.2,1149134600,1.0
10,5,tls add,2.2,1146085200,1.0
11,5,tls add,2.2,1148589800,1.0
12,5,tls add,2.2,1133443000,1.0
13,5,tls add,2.2,1144942000,1.0
14,5,tls add,2.2,1140821200,1.0
0,6,tls add,2.6,1136925200,1.0
1,6,tls add,2.6,1131783000,1.0
2,6,tls add,2.6,1131185800,1.0
3,6,tls add,2.7,1127877600,1.0
4,6,tls add,2.6,1135009400,1.0
5,6,tls add,2.6,1129887800,1.0
6,6,tls add,2.7,1124557000,1.0
7,6,tls add,2.7,1124092000,1.0
8,6,tls add,2.7,1122746400,1.0
9,6,tls add,2.9,1015518200,1.0
10,6,tls add,3.0,1004172200,1.0
11,6,tls add,2.9,1015962000,1.0
12,6,tls add,2.9,1018707600,1.0
13,6,tls add,2.9,1024240600,1.0
14,6,tls add,2.9,1013338200,1.0
0,5,atomic add,80.4,30997400,1.0
1,5,atomic add,80.3,31087800,1.0
2,5,atomic add,80.4,31089000,1.0
3,5,atomic add,80.2,31123400,1.0
4,5,atomic add,80.4,31106000,1.0
5,5,atomic add,80.1,31122800,1.0
6,5,atomic add,80.2,31156600,1.0
7,5,atomic add,80.1,31101200,1.0
8,5,atomic add,80.2,31184000,1.0
9,5,atomic add,80.1,31148200,1.0
10,5,atomic add,79.9,31200600,1.0
11,5,atomic add,79.7,31274000,1.0
12,5,atomic add,79.8,31238200,1.0
13,5,atomic add,80.0,31166600,1.0
14,5,atomic add,79.4,31319600,1.0
0,6,atomic add,96.2,31150400,1.0
1,6,atomic add,96.1,31175600,1.0
2,6,atomic add,96.2,31218200,1.0
3,6,atomic add,95.9,31241400,1.0
4,6,atomic add,96.0,31234600,1.0
5,6,atomic add,95.9,31212400,1.0
6,6,atomic add,95.7,31362400,1.0
7,6,atomic add,96.0,31245000,1.0
8,6,atomic add,95.7,31258000,1.0
9,6,atomic add,95.8,31272800,1.0
10,6,atomic add,95.7,31334400,1.0
11,6,atomic add,95.9,31244600,1.0
12,6,atomic add,96.0,31213000,1.0
13,6,atomic add,95.7,31270000,1.0
14,6,atomic add,95.3,31270000,1.0
0,5,cas add,286.8,8717200,1.0
1,5,cas add,285.1,8754000,1.0
2,5,cas add,285.0,8744800,1.0
3,5,cas add,285.8,8720600,1.0
4,5,cas add,287.1,8707400,1.0
5,5,cas add,285.2,8752200,1.0
6,5,cas add,285.9,8729000,1.0
7,5,cas add,284.9,8747000,1.0
8,5,cas add,286.0,8714600,1.0
9,5,cas add,285.5,8729600,1.0
10,5,cas add,285.5,8730200,1.0
11,5,cas add,285.3,8735400,1.0
12,5,cas add,285.5,8729000,1.0
13,5,cas add,285.5,8728000,1.0
14,5,cas add,285.1,8727800,1.0
0,6,cas add,341.3,8755200,1.0
1,6,cas add,346.0,8670400,1.0
2,6,cas add,342.5,8748000,1.0
3,6,cas add,346.8,8639200,1.0
4,6,cas add,341.7,8778600,1.0
5,6,cas add,325.1,9215200,1.0
6,6,cas add,328.7,9140400,1.0
7,6,cas add,327.3,9153600,1.0
8,6,cas add,323.9,9262200,1.0
9,6,cas add,324.5,9244400,1.0
10,6,cas add,333.0,8960600,1.0
11,6,cas add,341.2,8769800,1.0
12,6,cas add,341.9,8774800,1.0
13,6,cas add,336.3,8873000,1.0
14,6,cas add,339.3,8772800,1.0
0,5,cas multi,14.9,166772000,1.0
1,5,cas multi,15.0,166438000,1.0
2,5,cas multi,15.0,166223800,1.0
3,5,cas multi,15.0,166576000,1.0
4,5,cas multi,15.0,166846600,1.0
5,5,cas multi,15.0,166149800,1.0
6,5,cas multi,15.0,166633200,1.0
7,5,cas multi,15.0,166466600,1.0
8,5,cas multi,15.0,166341600,1.0
9,5,cas multi,15.0,166312400,1.0
10,5,cas multi,15.1,166071800,1.0
11,5,cas multi,15.0,166063800,1.0
12,5,cas multi,15.0,166838000,1.0
13,5,cas multi,15.1,166061000,1.0
14,5,cas multi,15.0,166075400,1.0
0,6,cas multi,18.0,166051000,1.0
1,6,cas multi,18.1,166423800,1.0
2,6,cas multi,18.0,166199000,1.0
3,6,cas multi,18.0,166089600,1.0
4,6,cas multi,18.0,166742800,1.0
5,6,cas multi,18.1,166074200,1.0
6,6,cas multi,18.0,166082000,1.0
7,6,cas multi,18.0,166347600,1.0
8,6,cas multi,18.0,166320600,1.0
9,6,cas multi,18.0,166136800,1.0
10,6,cas multi,17.9,166930800,1.0
11,6,cas multi,18.0,166150800,1.0
12,6,cas multi,18.0,166094000,1.0
13,6,cas multi,17.9,166897000,1.0
14,6,cas multi,17.9,166094600,1.0
0,5,mutex add,889.8,2823200,1.0
1,5,mutex add,879.0,2857800,1.0
2,5,mutex add,894.6,2808200,1.0
3,5,mutex add,883.3,2843800,1.0
4,5,mutex add,888.3,2827800,1.0
5,5,mutex add,880.9,2851800,1.0
6,5,mutex add,897.4,2799200,1.0
7,5,mutex add,892.0,2816400,1.0
8,5,mutex add,880.6,2848200,1.0
