Trial,Cores,Implementation,Nanos/Op,Total,Rlen
0,1,plain add,2.2,4651000,1.0
1,1,plain add,2.2,4651000,1.0
2,1,plain add,2.2,4636000,1.0
3,1,plain add,2.2,4633000,1.0
4,1,plain add,2.1,4652000,1.0
5,1,plain add,2.2,4643000,1.0
6,1,plain add,2.2,4650000,1.0
7,1,plain add,2.2,4651000,1.0
8,1,plain add,2.2,4646000,1.0
9,1,plain add,2.1,4652000,1.0
10,1,plain add,2.2,4647000,1.0
11,1,plain add,2.2,4630000,1.0
12,1,plain add,2.1,4652000,1.0
13,1,plain add,2.2,4648000,1.0
14,1,plain add,2.2,4651000,1.0
0,2,plain add,3.2,6159000,1.0
1,2,plain add,3.2,6162000,1.0
2,2,plain add,3.2,6159000,1.0
3,2,plain add,3.2,6160000,1.0
4,2,plain add,3.2,6160000,1.0
5,2,plain add,3.2,6156000,1.0
6,2,plain add,3.2,6158000,1.0
7,2,plain add,3.2,6157000,1.0
8,2,plain add,3.2,6164000,1.0
9,2,plain add,3.2,6158000,1.0
10,2,plain add,3.2,6200000,1.0
11,2,plain add,3.2,6186000,1.0
12,2,plain add,3.3,6149000,1.0
13,2,plain add,3.2,6160000,1.0
14,2,plain add,3.2,6157000,1.0
0,3,plain add,3.3,9189000,1.0
1,3,plain add,3.3,9188000,1.0
2,3,plain add,3.3,9187000,1.0
3,3,plain add,3.2,9341000,1.0
4,3,plain add,3.3,9203000,1.0
5,3,plain add,3.3,9205000,1.0
6,3,plain add,3.3,9201000,1.0
7,3,plain add,3.3,9197000,1.0
8,3,plain add,3.3,9198000,1.0
9,3,plain add,3.3,9192000,1.0
10,3,plain add,3.3,9202000,1.0
11,3,plain add,3.3,9196000,1.0
12,3,plain add,3.3,9202000,1.0
13,3,plain add,3.2,9280000,1.0
14,3,plain add,3.3,9203000,1.0
0,4,plain add,3.0,13167000,1.0
1,4,plain add,3.0,13122000,1.0
2,4,plain add,3.0,13297000,1.0
3,4,plain add,3.0,13128000,1.0
4,4,plain add,3.0,13150000,1.0
5,4,plain add,3.0,13135000,1.0
6,4,plain add,3.0,13193000,1.0
7,4,plain add,3.0,13148000,1.0
8,4,plain add,3.0,13129000,1.0
9,4,plain add,3.0,13134000,1.0
10,4,plain add,3.0,13140000,1.0
11,4,plain add,3.0,13138000,1.0
12,4,plain add,3.0,13167000,1.0
13,4,plain add,3.0,13199000,1.0
14,4,plain add,3.0,13139000,1.0
0,1,tls add,2.0,5104000,1.0
1,1,tls add,2.0,5109000,1.0
2,1,tls add,2.0,5099000,1.0
3,1,tls add,2.0,5103000,1.0
4,1,tls add,2.0,5106000,1.0
5,1,tls add,2.0,5103000,1.0
6,1,tls add,2.0,5106000,1.0
7,1,tls add,2.0,5103000,1.0
8,1,tls add,2.0,5103000,1.0
9,1,tls add,2.0,5103000,1.0
10,1,tls add,2.0,5100000,1.0
11,1,tls add,2.0,5099000,1.0
12,1,tls add,2.0,5102000,1.0
13,1,tls add,2.0,5107000,1.0
14,1,tls add,2.0,5107000,1.0
0,2,tls add,2.0,10211000,1.0
1,2,tls add,2.0,10207000,1.0
2,2,tls add,2.0,10201000,1.0
3,2,tls add,2.0,10201000,1.0
4,2,tls add,2.0,10214000,1.0
5,2,tls add,2.0,10207000,1.0
6,2,tls add,2.0,10211000,1.0
7,2,tls add,2.0,10201000,1.0
8,2,tls add,2.0,10202000,1.0
9,2,tls add,2.0,10201000,1.0
10,2,tls add,2.0,10218000,1.0
11,2,tls add,2.0,10207000,1.0
12,2,tls add,2.0,10207000,1.0
13,2,tls add,2.0,10202000,1.0
14,2,tls add,2.0,10204000,1.0
0,3,tls add,2.0,15245000,1.0
1,3,tls add,2.0,15292000,1.0
2,3,tls add,2.0,15268000,1.0
3,3,tls add,2.0,15298000,1.0
4,3,tls add,2.0,15313000,1.0
5,3,tls add,2.0,15314000,1.0
6,3,tls add,2.0,15312000,1.0
7,3,tls add,2.0,15315000,1.0
8,3,tls add,2.0,15311000,1.0
9,3,tls add,2.0,15320000,1.0
10,3,tls add,2.0,15316000,1.0
11,3,tls add,2.0,15320000,1.0
12,3,tls add,2.0,15304000,1.0
13,3,tls add,2.0,15244000,1.0
14,3,tls add,2.0,15310000,1.0
0,4,tls add,2.0,20241000,1.0
1,4,tls add,2.0,20400000,1.0
2,4,tls add,2.0,20418000,1.0
3,4,tls add,2.0,20399000,1.0
4,4,tls add,2.0,20427000,1.0
5,4,tls add,2.0,20423000,1.0
6,4,tls add,2.0,20422000,1.0
7,4,tls add,2.0,20410000,1.0
8,4,tls add,2.0,20417000,1.0
9,4,tls add,2.0,20412000,1.0
10,4,tls add,2.0,20424000,1.0
11,4,tls add,2.0,20416000,1.0
12,4,tls add,2.0,20427000,1.0
13,4,tls add,2.0,20422000,1.0
14,4,tls add,2.0,20422000,1.0
0,1,atomic add,7.0,1435000,1.0
1,1,atomic add,7.0,1432000,1.0
2,1,atomic add,7.0,1435000,1.0
3,1,atomic add,7.0,1436000,1.0
4,1,atomic add,7.0,1435000,1.0
5,1,atomic add,7.0,1436000,1.0
6,1,atomic add,7.0,1435000,1.0
7,1,atomic add,7.0,1436000,1.0
8,1,atomic add,7.0,1435000,1.0
9,1,atomic add,7.0,1435000,1.0
10,1,atomic add,7.0,1435000,1.0
11,1,atomic add,7.0,1435000,1.0
12,1,atomic add,7.0,1430000,1.0
13,1,atomic add,7.0,1435000,1.0
14,1,atomic add,7.0,1435000,1.0
0,2,atomic add,44.1,455000,1.0
1,2,atomic add,44.2,453000,1.0
2,2,atomic add,44.2,453000,1.0
3,2,atomic add,43.9,457000,1.0
4,2,atomic add,44.1,454000,1.0
5,2,atomic add,44.1,454000,1.0
6,2,atomic add,45.5,440000,1.0
7,2,atomic add,43.9,456000,1.0
8,2,atomic add,43.9,457000,1.0
9,2,atomic add,44.1,455000,1.0
10,2,atomic add,44.1,454000,1.0
11,2,atomic add,44.1,454000,1.0
12,2,atomic add,44.1,454000,1.0
13,2,atomic add,43.7,459000,1.0
14,2,atomic add,43.9,457000,1.0
0,3,atomic add,69.9,431000,1.0
1,3,atomic add,70.1,429000,1.0
2,3,atomic add,70.0,429000,1.0
3,3,atomic add,70.0,430000,1.0
4,3,atomic add,70.0,430000,1.0
5,3,atomic add,70.0,430000,1.0
6,3,atomic add,70.0,430000,1.0
7,3,atomic add,70.1,430000,1.0
8,3,atomic add,70.0,430000,1.0
9,3,atomic add,70.0,430000,1.0
10,3,atomic add,70.0,430000,1.0
11,3,atomic add,70.1,429000,1.0
12,3,atomic add,70.0,429000,1.0
13,3,atomic add,70.0,429000,1.0
14,3,atomic add,70.0,430000,1.0
0,4,atomic add,96.8,414000,1.0
1,4,atomic add,96.5,417000,1.0
2,4,atomic add,96.2,417000,1.0
3,4,atomic add,96.4,417000,1.0
4,4,atomic add,96.3,417000,1.0
5,4,atomic add,96.4,416000,1.0
6,4,atomic add,96.4,416000,1.0
7,4,atomic add,96.3,416000,1.0
8,4,atomic add,96.5,416000,1.0
9,4,atomic add,96.4,416000,1.0
10,4,atomic add,96.5,417000,1.0
11,4,atomic add,96.4,416000,1.0
12,4,atomic add,96.5,417000,1.0
13,4,atomic add,96.4,417000,1.0
14,4,atomic add,96.5,416000,1.0
0,1,cas add,12.0,835000,1.0
1,1,cas add,12.0,835000,1.0
2,1,cas add,12.0,835000,1.0
3,1,cas add,12.0,835000,1.0
4,1,cas add,12.0,835000,1.0
5,1,cas add,12.0,835000,1.0
6,1,cas add,12.0,835000,1.0
7,1,cas add,12.1,830000,1.0
8,1,cas add,12.0,835000,1.0
9,1,cas add,12.0,835000,1.0
10,1,cas add,12.0,835000,1.0
11,1,cas add,12.0,835000,1.0
12,1,cas add,12.0,835000,1.0
13,1,cas add,12.0,835000,1.0
14,1,cas add,12.0,835000,1.0
0,2,cas add,109.0,185000,1.0
1,2,cas add,108.8,184000,1.0
2,2,cas add,108.2,185000,1.0
3,2,cas add,108.2,186000,1.0
4,2,cas add,108.3,186000,1.0
5,2,cas add,108.9,185000,1.0
6,2,cas add,108.4,186000,1.0
7,2,cas add,107.8,186000,1.0
8,2,cas add,109.0,184000,1.0
9,2,cas add,108.6,185000,1.0
10,2,cas add,109.0,184000,1.0
11,2,cas add,108.6,185000,1.0
12,2,cas add,108.9,185000,1.0
13,2,cas add,108.5,185000,1.0
14,2,cas add,107.8,186000,1.0
0,3,cas add,226.8,133000,1.0
1,3,cas add,227.2,133000,1.0
2,3,cas add,225.7,134000,1.0
3,3,cas add,226.3,134000,1.0
4,3,cas add,227.6,134000,1.0
5,3,cas add,226.6,134000,1.0
6,3,cas add,226.4,133000,1.0
7,3,cas add,226.8,133000,1.0
8,3,cas add,227.4,133000,1.0
9,3,cas add,226.8,133000,1.0
10,3,cas add,227.9,132000,1.0
11,3,cas add,226.5,133000,1.0
12,3,cas add,228.0,132000,1.0
13,3,cas add,228.0,132000,1.0
14,3,cas add,227.8,132000,1.0
0,4,cas add,346.2,117000,1.0
1,4,cas add,346.8,118000,1.0
2,4,cas add,349.2,116000,1.0
3,4,cas add,349.1,116000,1.0
4,4,cas add,345.8,116000,1.0
5,4,cas add,348.6,115000,1.0
6,4,cas add,351.0,115000,1.0
7,4,cas add,348.7,116000,1.0
8,4,cas add,350.1,115000,1.0
9,4,cas add,343.6,118000,1.0
10,4,cas add,342.0,131000,1.0
11,4,cas add,319.4,126000,1.0
12,4,cas add,324.0,124000,1.0
13,4,cas add,349.5,115000,1.0
14,4,cas add,347.2,117000,1.0
0,1,cas multi,12.0,835000,1.0
1,1,cas multi,12.0,835000,1.0
2,1,cas multi,12.0,833000,1.0
3,1,cas multi,12.0,835000,1.0
4,1,cas multi,12.0,835000,1.0
5,1,cas multi,12.0,835000,1.0
6,1,cas multi,12.0,835000,1.0
7,1,cas multi,12.0,835000,1.0
8,1,cas multi,12.0,835000,1.0
9,1,cas multi,12.0,835000,1.0
10,1,cas multi,12.0,835000,1.0
11,1,cas multi,12.0,835000,1.0
12,1,cas multi,12.0,831000,1.0
13,1,cas multi,12.0,835000,1.0
14,1,cas multi,12.0,835000,1.0
0,2,cas multi,12.0,1666000,1.0
1,2,cas multi,12.0,1670000,1.0
2,2,cas multi,12.0,1670000,1.0
3,2,cas multi,12.0,1664000,1.0
4,2,cas multi,12.0,1670000,1.0
5,2,cas multi,12.0,1670000,1.0
6,2,cas multi,12.0,1670000,1.0
7,2,cas multi,12.0,1670000,1.0
8,2,cas multi,12.0,1670000,1.0
9,2,cas multi,12.0,1670000,1.0
10,2,cas multi,12.0,1670000,1.0
11,2,cas multi,12.0,1670000,1.0
12,2,cas multi,12.0,1670000,1.0
13,2,cas multi,12.0,1670000,1.0
14,2,cas multi,12.0,1670000,1.0
0,3,cas multi,12.0,2505000,1.0
1,3,cas multi,12.0,2505000,1.0
2,3,cas multi,12.0,2505000,1.0
3,3,cas multi,12.0,2505000,1.0
4,3,cas multi,12.0,2505000,1.0
5,3,cas multi,12.0,2505000,1.0
6,3,cas multi,12.0,2505000,1.0
7,3,cas multi,12.0,2505000,1.0
8,3,cas multi,12.0,2505000,1.0
9,3,cas multi,12.0,2505000,1.0
10,3,cas multi,12.0,2505000,1.0
11,3,cas multi,12.0,2505000,1.0
12,3,cas multi,12.0,2493000,1.0
13,3,cas multi,12.0,2505000,1.0
14,3,cas multi,12.0,2505000,1.0
0,4,cas multi,12.0,3339000,1.0
1,4,cas multi,14.8,2787000,1.0
2,4,cas multi,12.1,3315000,1.0
3,4,cas multi,12.1,3319000,1.0
4,4,cas multi,12.0,3340000,1.0
5,4,cas multi,12.0,3340000,1.0
6,4,cas multi,12.0,3340000,1.0
7,4,cas multi,12.0,3337000,1.0
8,4,cas multi,12.0,3340000,1.0
9,4,cas multi,12.0,3340000,1.0
10,4,cas multi,12.0,3340000,1.0
11,4,cas multi,12.0,3340000,1.0
12,4,cas multi,12.0,3340000,1.0
13,4,cas multi,12.0,3328000,1.0
14,4,cas multi,12.0,3340000,1.0
0,1,mutex add,20.9,480000,1.0
1,1,mutex add,20.9,480000,1.0
2,1,mutex add,20.9,480000,1.0
3,1,mutex add,20.9,480000,1.0
4,1,mutex add,20.9,480000,1.0
5,1,mutex add,20.9,480000,1.0
6,1,mutex add,20.9,480000,1.0
7,1,mutex add,20.9,480000,1.0
8,1,mutex add,20.9,480000,1.0
9,1,mutex add,20.9,480000,1.0
10,1,mutex add,20.9,480000,1.0
11,1,mutex add,20.9,480000,1.0
12,1,mutex add,20.9,480000,1.0
13,1,mutex add,20.9,480000,1.0
14,1,mutex add,20.9,480000,1.0
0,2,mutex add,126.9,158000,1.0
1,2,mutex add,125.3,160000,1.0
2,2,mutex add,126.2,160000,1.0
3,2,mutex add,125.1,161000,1.0
4,2,mutex add,125.2,161000,1.0
5,2,mutex add,124.4,161000,1.0
6,2,mutex add,126.8,158000,1.0
7,2,mutex add,125.3,160000,1.0
8,2,mutex add,125.9,159000,1.0
9,2,mutex add,124.7,161000,1.0
10,2,mutex add,125.3,160000,1.0
11,2,mutex add,126.2,159000,1.0
12,2,mutex add,126.6,159000,1.0
13,2,mutex add,125.1,160000,1.0
14,2,mutex add,125.6,160000,1.0
0,3,mutex add,179.0,168000,1.0
1,3,mutex add,178.2,169000,1.0
2,3,mutex add,176.6,171000,1.0
3,3,mutex add,180.0,168000,1.0
4,3,mutex add,177.1,170000,1.0
5,3,mutex add,177.6,171000,1.0
6,3,mutex add,180.5,167000,1.0
7,3,mutex add,180.4,168000,1.0
8,3,mutex add,181.7,166000,1.0
9,3,mutex add,178.2,170000,1.0
10,3,mutex add,177.1,171000,1.0
11,3,mutex add,181.4,167000,1.0
12,3,mutex add,177.5,170000,1.0
13,3,mutex add,179.7,168000,1.0
14,3,mutex add,178.3,170000,1.0
0,4,mutex add,276.8,146000,1.0
1,4,mutex add,277.9,145000,1.0
2,4,mutex add,257.9,157000,1.0
3,4,mutex add,271.5,152000,1.0
4,4,mutex add,280.5,143000,1.0
5,4,mutex add,278.9,146000,1.0
6,4,mutex add,276.1,147000,1.0
7,4,mutex add,276.3,146000,1.0
8,4,mutex add,278.3,145000,1.0
9,4,mutex add,278.6,145000,1.0
10,4,mutex add,272.2,148000,1.0
11,4,mutex add,275.0,147000,1.0
12,4,mutex add,276.0,146000,1.0
13,4,mutex add,274.2,147000,1.0
14,4,mutex add,277.4,146000,1.0
0,1,pure spin,11.2,892000,1.0
1,1,pure spin,11.2,893000,1.0
2,1,pure spin,11.2,892000,1.0
3,1,pure spin,11.2,893000,1.0
4,1,pure spin,11.2,892000,1.0
5,1,pure spin,11.2,893000,1.0
6,1,pure spin,11.2,892000,1.0
7,1,pure spin,11.2,893000,1.0
8,1,pure spin,11.2,892000,1.0
9,1,pure spin,11.2,892000,1.0
10,1,pure spin,11.3,889000,1.0
11,1,pure spin,11.2,892000,1.0
12,1,pure spin,11.2,892000,1.0
13,1,pure spin,11.2,893000,1.0
14,1,pure spin,11.2,892000,1.0
0,2,pure spin,193.0,104000,1.0
1,2,pure spin,189.5,106000,1.0
2,2,pure spin,186.4,108000,1.0
3,2,pure spin,204.4,98000,1.0
4,2,pure spin,195.3,103000,1.0
5,2,pure spin,194.8,103000,1.0
6,2,pure spin,194.6,103000,1.0
7,2,pure spin,194.6,103000,1.0
8,2,pure spin,195.1,103000,1.0
9,2,pure spin,195.6,103000,1.0
10,2,pure spin,194.3,103000,1.0
11,2,pure spin,194.7,103000,1.0
12,2,pure spin,194.9,103000,1.0
13,2,pure spin,194.7,103000,1.0
14,2,pure spin,190.3,106000,1.0
0,3,pure spin,365.1,83000,1.0
1,3,pure spin,355.5,85000,1.0
2,3,pure spin,364.2,83000,1.0
3,3,pure spin,366.9,82000,1.0
4,3,pure spin,351.8,86000,1.0
5,3,pure spin,357.8,85000,1.0
6,3,pure spin,365.1,83000,1.0
7,3,pure spin,362.5,84000,1.0
8,3,pure spin,362.7,83000,1.0
9,3,pure spin,374.6,82000,1.0
10,3,pure spin,368.6,82000,1.0
11,3,pure spin,366.5,83000,1.0
12,3,pure spin,362.3,83000,1.0
13,3,pure spin,366.6,83000,1.0
14,3,pure spin,368.5,82000,1.0
