Trial,Cores,Implementation,Nanos/Op,Total,Rlen
0,5,plain add,4.2,600548600,1.0
1,5,plain add,4.2,598844400,1.0
2,5,plain add,4.2,597451600,1.0
3,5,plain add,4.2,599854200,1.0
4,5,plain add,4.2,600000600,1.0
5,5,plain add,4.2,600302600,1.0
6,5,plain add,4.2,600779600,1.0
7,5,plain add,4.2,598297000,1.0
8,5,plain add,4.2,599752200,1.0
9,5,plain add,4.1,602100600,1.0
10,5,plain add,4.2,599895000,1.0
11,5,plain add,4.1,602064200,1.0
12,5,plain add,4.2,597706800,1.0
13,5,plain add,4.2,601483000,1.0
14,5,plain add,4.1,601149200,1.0
0,6,plain add,5.0,600860000,1.0
1,6,plain add,5.0,603483400,1.0
2,6,plain add,5.0,601379000,1.0
3,6,plain add,5.0,595981000,1.0
4,6,plain add,5.0,600511800,1.0
5,6,plain add,5.0,601115000,1.0
6,6,plain add,5.0,599976400,1.0
7,6,plain add,5.0,603260000,1.0
8,6,plain add,5.0,602113200,1.0
9,6,plain add,5.0,599514200,1.0
10,6,plain add,5.0,601205000,1.0
11,6,plain add,5.0,601992200,1.0
12,6,plain add,5.0,601376600,1.0
13,6,plain add,5.0,602026000,1.0
14,6,plain add,5.0,600234400,1.0
0,5,tls add,2.6,952469400,1.0
1,5,tls add,2.6,957196000,1.0
2,5,tls add,2.6,959102000,1.0
3,5,tls add,2.6,955558000,1.0
4,5,tls add,2.6,949164400,1.0
5,5,tls add,2.6,954752000,1.0
6,5,tls add,2.6,955555400,1.0
7,5,tls add,2.6,955570800,1.0
8,5,tls add,2.6,955724800,1.0
9,5,tls add,2.6,955828200,1.0
10,5,tls add,2.6,957004000,1.0
11,5,tls add,2.6,956710000,1.0
12,5,tls add,2.6,953932600,1.0
13,5,tls add,2.6,956688000,1.0
14,5,tls add,2.6,959049600,1.0
0,6,tls add,3.1,956684400,1.0
1,6,tls add,3.1,958357200,1.0
2,6,tls add,3.1,956636800,1.0
3,6,tls add,3.1,956008200,1.0
4,6,tls add,3.1,959190600,1.0
5,6,tls add,3.1,956376400,1.0
6,6,tls add,3.1,958248600,1.0
7,6,tls add,3.1,955097800,1.0
8,6,tls add,3.2,950183800,1.0
9,6,tls add,3.2,953410800,1.0
10,6,tls add,3.1,960073600,1.0
11,6,tls add,3.1,957054400,1.0
12,6,tls add,3.1,956718800,1.0
13,6,tls add,3.1,955526200,1.0
14,6,tls add,3.1,958251200,1.0
0,5,atomic add,140.1,17793200,1.0
1,5,atomic add,140.3,17791400,1.0
2,5,atomic add,140.4,17780000,1.0
3,5,atomic add,140.6,17777400,1.0
4,5,atomic add,140.5,17787600,1.0
5,5,atomic add,140.3,17785000,1.0
6,5,atomic add,140.6,17786800,1.0
7,5,atomic add,140.8,17787200,1.0
8,5,atomic add,140.4,17782600,1.0
9,5,atomic add,140.4,17784000,1.0
10,5,atomic add,140.5,17768800,1.0
11,5,atomic add,140.6,17775800,1.0
12,5,atomic add,140.1,17787600,1.0
13,5,atomic add,140.4,17778800,1.0
14,5,atomic add,140.0,17776600,1.0
0,6,atomic add,168.5,17777200,1.0
1,6,atomic add,168.4,17790600,1.0
2,6,atomic add,168.9,17783000,1.0
3,6,atomic add,168.4,17795400,1.0
4,6,atomic add,168.6,17792000,1.0
5,6,atomic add,169.0,17776000,1.0
6,6,atomic add,168.4,17792800,1.0
7,6,atomic add,169.0,17796600,1.0
8,6,atomic add,168.7,17786200,1.0
9,6,atomic add,168.5,17781800,1.0
10,6,atomic add,168.5,17784200,1.0
11,6,atomic add,168.7,17787000,1.0
12,6,atomic add,167.9,17792000,1.0
13,6,atomic add,168.1,17777600,1.0
14,6,atomic add,167.3,17786600,1.0
0,5,cas add,483.3,5156000,1.0
1,5,cas add,484.0,5157200,1.0
2,5,cas add,482.9,5168800,1.0
3,5,cas add,483.0,5159200,1.0
4,5,cas add,485.1,5154000,1.0
5,5,cas add,482.1,5167800,1.0
6,5,cas add,484.4,5161800,1.0
7,5,cas add,483.9,5158200,1.0
8,5,cas add,482.7,5162800,1.0
9,5,cas add,484.1,5164200,1.0
10,5,cas add,483.6,5169800,1.0
11,5,cas add,483.0,5159600,1.0
12,5,cas add,483.1,5174800,1.0
13,5,cas add,483.4,5164000,1.0
14,5,cas add,481.6,5166400,1.0
0,6,cas add,580.1,5164800,1.0
1,6,cas add,579.9,5166600,1.0
2,6,cas add,582.2,5153400,1.0
3,6,cas add,579.3,5164800,1.0
4,6,cas add,580.0,5172800,1.0
5,6,cas add,580.5,5154600,1.0
6,6,cas add,581.4,5163200,1.0
7,6,cas add,578.0,5162400,1.0
8,6,cas add,579.6,5155200,1.0
9,6,cas add,581.8,5157000,1.0
10,6,cas add,580.8,5165800,1.0
11,6,cas add,578.9,5162000,1.0
12,6,cas add,579.7,5161000,1.0
13,6,cas add,579.8,5167800,1.0
14,6,cas add,578.2,5154200,1.0
